path,relative_path,split,raw_device,device,label,setup,location,distance,scene,file_index,fold,held_out_location,held_out_distance
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_1.dat,Diff_Distances_Setup/5m/IQ_1.dat,all,1,1,0,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_2.dat,Diff_Distances_Setup/5m/IQ_2.dat,all,2,2,1,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_3.dat,Diff_Distances_Setup/5m/IQ_3.dat,all,3,3,2,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_4.dat,Diff_Distances_Setup/5m/IQ_4.dat,all,4,4,3,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_5.dat,Diff_Distances_Setup/5m/IQ_5.dat,all,5,5,4,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_6.dat,Diff_Distances_Setup/5m/IQ_6.dat,all,6,6,5,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_7.dat,Diff_Distances_Setup/5m/IQ_7.dat,all,7,7,6,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_8.dat,Diff_Distances_Setup/5m/IQ_8.dat,all,8,8,7,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_10.dat,Diff_Distances_Setup/5m/IQ_10.dat,all,10,9,8,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_11.dat,Diff_Distances_Setup/5m/IQ_11.dat,all,11,10,9,diff_distances,0,5,indoor,1,,,
data/raw/osu_lora/Diff_Distances_Setup/5m/IQ_12.dat,Diff_Distances_Setup/5m/IQ_12.dat,all,12,11,10,diff_distances,0,5,indoor,1,,,
