path,relative_path,split,raw_device,device,label,setup,config,sf,scene,file_index,fold,held_out_config
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_1.dat,Diff_Configurations_Setup/Config1/IQ_1.dat,all,1,1,0,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_2.dat,Diff_Configurations_Setup/Config1/IQ_2.dat,all,2,2,1,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_3.dat,Diff_Configurations_Setup/Config1/IQ_3.dat,all,3,3,2,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_4.dat,Diff_Configurations_Setup/Config1/IQ_4.dat,all,4,4,3,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_5.dat,Diff_Configurations_Setup/Config1/IQ_5.dat,all,5,5,4,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_6.dat,Diff_Configurations_Setup/Config1/IQ_6.dat,all,6,6,5,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_7.dat,Diff_Configurations_Setup/Config1/IQ_7.dat,all,7,7,6,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_8.dat,Diff_Configurations_Setup/Config1/IQ_8.dat,all,8,8,7,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_10.dat,Diff_Configurations_Setup/Config1/IQ_10.dat,all,10,9,8,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_11.dat,Diff_Configurations_Setup/Config1/IQ_11.dat,all,11,10,9,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_12.dat,Diff_Configurations_Setup/Config1/IQ_12.dat,all,12,11,10,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_13.dat,Diff_Configurations_Setup/Config1/IQ_13.dat,all,13,12,11,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_14.dat,Diff_Configurations_Setup/Config1/IQ_14.dat,all,14,13,12,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_15.dat,Diff_Configurations_Setup/Config1/IQ_15.dat,all,15,14,13,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_16.dat,Diff_Configurations_Setup/Config1/IQ_16.dat,all,16,15,14,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_17.dat,Diff_Configurations_Setup/Config1/IQ_17.dat,all,17,16,15,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_18.dat,Diff_Configurations_Setup/Config1/IQ_18.dat,all,18,17,16,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_19.dat,Diff_Configurations_Setup/Config1/IQ_19.dat,all,19,18,17,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_20.dat,Diff_Configurations_Setup/Config1/IQ_20.dat,all,20,19,18,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_21.dat,Diff_Configurations_Setup/Config1/IQ_21.dat,all,21,20,19,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_22.dat,Diff_Configurations_Setup/Config1/IQ_22.dat,all,22,21,20,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_23.dat,Diff_Configurations_Setup/Config1/IQ_23.dat,all,23,22,21,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_24.dat,Diff_Configurations_Setup/Config1/IQ_24.dat,all,24,23,22,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config1/IQ_25.dat,Diff_Configurations_Setup/Config1/IQ_25.dat,all,25,24,23,diff_configurations,1,7,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_1.dat,Diff_Configurations_Setup/Config2/IQ_1.dat,all,1,1,0,diff_configurations,2,8,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_2.dat,Diff_Configurations_Setup/Config2/IQ_2.dat,all,2,2,1,diff_configurations,2,8,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_3.dat,Diff_Configurations_Setup/Config2/IQ_3.dat,all,3,3,2,diff_configurations,2,8,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_4.dat,Diff_Configurations_Setup/Config2/IQ_4.dat,all,4,4,3,diff_configurations,2,8,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_5.dat,Diff_Configurations_Setup/Config2/IQ_5.dat,all,5,5,4,diff_configurations,2,8,indoor,1,,
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_6.dat,Diff_Configurations_Setup/Config2/IQ_6.dat,all,6,6,5,diff_configurations,2,8,indoor,1,,
