path,relative_path,split,raw_device,device,label,setup,config,sf,scene,file_index,fold,held_out_config
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_1.dat,Diff_Configurations_Setup/Config2/IQ_1.dat,train,1,1,0,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_2.dat,Diff_Configurations_Setup/Config2/IQ_2.dat,train,2,2,1,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_3.dat,Diff_Configurations_Setup/Config2/IQ_3.dat,train,3,3,2,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_4.dat,Diff_Configurations_Setup/Config2/IQ_4.dat,train,4,4,3,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_5.dat,Diff_Configurations_Setup/Config2/IQ_5.dat,train,5,5,4,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_6.dat,Diff_Configurations_Setup/Config2/IQ_6.dat,train,6,6,5,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_7.dat,Diff_Configurations_Setup/Config2/IQ_7.dat,train,7,7,6,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_8.dat,Diff_Configurations_Setup/Config2/IQ_8.dat,train,8,8,7,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_10.dat,Diff_Configurations_Setup/Config2/IQ_10.dat,train,10,9,8,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_11.dat,Diff_Configurations_Setup/Config2/IQ_11.dat,train,11,10,9,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_12.dat,Diff_Configurations_Setup/Config2/IQ_12.dat,train,12,11,10,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_13.dat,Diff_Configurations_Setup/Config2/IQ_13.dat,train,13,12,11,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_14.dat,Diff_Configurations_Setup/Config2/IQ_14.dat,train,14,13,12,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_15.dat,Diff_Configurations_Setup/Config2/IQ_15.dat,train,15,14,13,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_16.dat,Diff_Configurations_Setup/Config2/IQ_16.dat,train,16,15,14,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_17.dat,Diff_Configurations_Setup/Config2/IQ_17.dat,train,17,16,15,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_18.dat,Diff_Configurations_Setup/Config2/IQ_18.dat,train,18,17,16,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_19.dat,Diff_Configurations_Setup/Config2/IQ_19.dat,train,19,18,17,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_20.dat,Diff_Configurations_Setup/Config2/IQ_20.dat,train,20,19,18,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_21.dat,Diff_Configurations_Setup/Config2/IQ_21.dat,train,21,20,19,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_22.dat,Diff_Configurations_Setup/Config2/IQ_22.dat,train,22,21,20,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_23.dat,Diff_Configurations_Setup/Config2/IQ_23.dat,train,23,22,21,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_24.dat,Diff_Configurations_Setup/Config2/IQ_24.dat,train,24,23,22,diff_configurations,2,8,indoor,1,1,1
data/raw/osu_lora/Diff_Configurations_Setup/Config2/IQ_25.dat,Diff_Configurations_Setup/Config2/IQ_25.dat,train,25,24,23,diff_configurations,2,8,indoor,1,1,1
