path,relative_path,device,label,day,receiver,location,distance,sf,scene,config,setup,split,protocol,openset_role,is_unknown_device
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device1/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device1/IQ_1.dat,1,0,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device2/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device2/IQ_1.dat,2,1,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device3/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device3/IQ_1.dat,3,2,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device4/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device4/IQ_1.dat,4,3,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device5/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device5/IQ_1.dat,5,4,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device6/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device6/IQ_1.dat,6,5,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device7/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device7/IQ_1.dat,7,6,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device8/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device8/IQ_1.dat,8,7,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device10/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device10/IQ_1.dat,9,8,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
data/raw/osu_lora/Diff_Days_Indoor_Setup/Day1/Device11/IQ_1.dat,Diff_Days_Indoor_Setup/Day1/Device11/IQ_1.dat,10,9,1,0,0,0,0,indoor,0,diff_days_indoor,train,cross_day_source_only,train_known,0
